number;main ref;img;title;curPrice;originalPrice;sold;soldPercent
11;//aliexpress.ru/item/32982338666.html?pdp_ext_f=%7B%22sku_id%22:%2212000020564056666%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H391b315a25064cfcbe5a2341dd12f8d51.jpg_350x350.jpg;CURREN Casual Sport Watches for Men Blue Top Brand Luxury Military Leather Wrist Watch Man Clock Fashion Chronograph Wristwatch;US $19.19;US $239.90 | 92% off;11948 Sold;NaN% Claimed
12;//aliexpress.ru/item/1005001672112988.html?pdp_ext_f=%7B%22sku_id%22:%2212000017074915477%22,%22ship_from%22:%22RU%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/Hb22f9c788e994fedb935620f66507dfdC.jpg_350x350.jpg;LIGE New Men Smart watch Heart rate Blood pressure IP68 waterproof sports Fitness watch Luxury Smart watch male for iOS Android;US $28.04;US $164.95 | 83% off;2391 Sold;NaN% Claimed
13;//aliexpress.ru/item/1005002603560038.html?pdp_ext_f=%7B%22sku_id%22:%2212000022710303454%22,%22ship_from%22:%22FR%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H600fec45af6d434e9f4c8bc0c4a9c707L.jpg_350x350.jpg;Water Wave Lace Front Wig Curly Human Hair Wigs For Women Wet And Wavy Bob HD Lace Full 30 Inch 13x4 Deep Wave Lace Frontal Wig;US $70.60;US $141.21 | 50% off;173 Sold;NaN% Claimed
14;//aliexpress.ru/item/1005001864599792.html?pdp_ext_f=%7B%22sku_id%22:%2212000022646322783%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/Hf5973d11aff54e77a3d167a6b09fc09bD.jpg_350x350.jpg;13x4 Deep Curly Transparent Lace Front Human Hair Wigs Brazilian Curly Human Hair Wigs Pre Plucked Lace Wig Deep Wave Wig;US $63.92;US $136.00 | 53% off;1204 Sold;NaN% Claimed
15;//aliexpress.ru/item/4000152895166.html?pdp_ext_f=%7B%22sku_id%22:%2212000020566913956%22,%22ship_from%22:%22RU%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H92b6f2e19d704cc48bc0d599d15a1462v.jpg_350x350.jpg;LIGE 2020 New Fashion Mens Watches with Stainless Steel Top Brand Luxury Sports Chronograph Quartz Watch Men Relogio Masculino;US $16.79;US $209.90 | 92% off;8571 Sold;NaN% Claimed
16;//aliexpress.ru/item/32999073045.html?pdp_ext_f=%7B%22sku_id%22:%2267011105955%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H196abb6122eb4d70b6d39b3a3ee14563R.jpg_350x350.jpg;LIGE Watch For Men Top Brand Luxury Waterproof 24 Hour Date Quartz Clock Brown Leather Sports WristWatch Relogio Masculino 2021;US $15.29;US $169.90 | 91% off;950 Sold;NaN% Claimed
17;//aliexpress.ru/item/1005001780506119.html?pdp_ext_f=%7B%22sku_id%22:%2212000017566298991%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H58a63b7ad0d641fd96fbcf420ffbe623A.png_350x350.png;ATHVOTAR Bubble Butt Women Leggings Sexy Serpentine Sport High Waist Push Up Leggings Exercise Gym Slim Fitness Legging Mujer;US $8.98;US $47.24 | 81% off;1627 Sold;NaN% Claimed
18;//aliexpress.ru/item/4001251691710.html?pdp_ext_f=%7B%22sku_id%22:%2210000015690647968%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H6d15e046a133491a922f12bb7f75a80fy.jpg_350x350.jpg;2021 NEW Drone 4k profession HD Wide Angle Camera 1080P WiFi Fpv Drone Dual Camera Height Keep Drones Camera Helicopter Toys;US $14.93;US $165.90 | 91% off;8455 Sold;NaN% Claimed
19;//aliexpress.ru/item/1005001808363550.html?pdp_ext_f=%7B%22sku_id%22:%2212000023008956797%22,%22ship_from%22:%22PL%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H2e7ee9dda23842dfbb859b34a8355a525.jpg_350x350.jpg;10000mAh Bike Light USB Rechargeable 5000 Lumens Bike Headlight 6T6 LED Super Bright Flashlight Front Lights and Back Rear light;US $21.59;US $239.90 | 91% off;6750 Sold;NaN% Claimed
20;//aliexpress.ru/item/4001107527424.html?pdp_ext_f=%7B%22sku_id%22:%2210000014429777986%22,%22ship_from%22:%22RU%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H347642f7d6b74f73872e99ad334a9460x.jpg_350x350.jpg;LIGE Luxury Smart Watch Women Waterproof Sports Fitness Tracker For Android ios Reloj inteligente Ceramic Strap smart watch Men;US $21.59;US $119.95 | 82% off;1402 Sold;NaN% Claimed
21;//aliexpress.ru/item/4000056216027.html?pdp_ext_f=%7B%22sku_id%22:%2210000012922466349%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H385bd2e93ac44ac5aadee30aa2845210d.jpg_350x350.jpg;LIGE Official Store Mens Watches Top Brand Luxury Automatic Mechanical Business Clock Gold Watch Men Reloj Mecanico de Hombres;US $38.39;US $479.90 | 92% off;56 Sold;NaN% Claimed
22;//aliexpress.ru/item/1005001840459212.html?pdp_ext_f=%7B%22sku_id%22:%2212000017811858492%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H00a31f4a6c3c4654a0e85c60df9b63b8T.jpg_350x350.jpg;OLEVS New Women Luxury Jewel Quartz Watch Waterproof Stainless Steel Strap Watch For Women Fashion Date Clock;US $20.70;US $258.80 | 92% off;89 Sold;NaN% Claimed
23;//aliexpress.ru/item/32953292868.html?pdp_ext_f=%7B%22sku_id%22:%2210000001066679589%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H94901cf6410b405993107f5315470c10o.jpg_350x350.jpg;Women Watches Women Fashion Watch 2020 Geneva Designer Ladies Watch Luxury Brand Diamond Quartz Gold Wrist Watch Gifts For Women;US $14.03;US $155.85 | 91% off;1354 Sold;NaN% Claimed
24;//aliexpress.ru/item/4000943693782.html?pdp_ext_f=%7B%22sku_id%22:%2210000011381549139%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=2a0efca7-78f0-4f74-a8b0-f6910dfe264f;//ae01.alicdn.com/kf/H4ca6ecc14c014531a1c75482aa34a89b7.jpg_350x350.jpg;DAIMI Sky blue topaz earrings female gemstones genuine 925 silver water drop color treasure earrings to send girlfriend;US $22.41;US $249.00 | 91% off;328 Sold;NaN% Claimed
