number,main ref,img,title,curPrice,originalPrice,sold,soldPercent
11,//aliexpress.ru/item/4000469754522.html?pdp_ext_f=%7B%22sku_id%22:%2212000021918827990%22,%22ship_from%22:%22RU%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=9dd06595-61b3-4b91-83ee-b5c2b9615105,//ae01.alicdn.com/kf/Hc59b5f1882184574a98c505b8a2a6ca87.jpg_350x350.jpg,3500mAh Wireless Earphones Bluetooth-Compatible V5.0 TWS Wireless Headphones LED Display With Power Bank Headset With Microphone,US $15.29,US $89.95 | 83% off,5964 Sold,NaN% Claimed
12,//aliexpress.ru/item/32949276208.html?pdp_ext_f=%7B%22sku_id%22:%2212000016731438538%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=9dd06595-61b3-4b91-83ee-b5c2b9615105,//ae01.alicdn.com/kf/H3340e966101b4958aabebb634c5bd303G.jpg_350x350.jpg,2021 New Arrival Fashion Luxury 925 Sterling Silver Pink CZ Drop Stud Earing For Women Valentine's Day Gift Z5,US $0.99,US $4.99 | 80% off,8673 Sold,NaN% Claimed
13,//aliexpress.ru/item/32974221382.html?pdp_ext_f=%7B%22sku_id%22:%2212000016824039283%22,%22ship_from%22:%22US%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/Hf04642da2f1b4b24964d76eb482dcb2aN.png_350x350.png,Ali Grace Body Wave Lace Front Wig 28 inch Body Wave Human Hair Wigs for Women Brazilian Pre-Plucked Lace Front Human Hair Wigs,US $60.54,US $134.54 | 55% off,4203 Sold,NaN% Claimed
14,//aliexpress.ru/item/1005001929521247.html?pdp_ext_f=%7B%22sku_id%22:%2212000021204198335%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H14e35ac149574959b0a71b553be5ac5e8.jpg_350x350.jpg,Curly Human Hair Wig Lace Front Human Hair Wigs Brazilian Deep Wave Wig Transparent Lace Wig Pre Plucked Wig With Baby Hair,US $64.80,US $360.00 | 82% off,1695 Sold,NaN% Claimed
15,//aliexpress.ru/item/1005002746222316.html?pdp_ext_f=%7B%22sku_id%22:%2212000021946306612%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/Hc0db22bd242e40f9b298d3eee0e1d32ah.jpg_350x350.jpg,NAVIFORCE Men's Watches 2021 Luxury Gold Business Classic Quartz Clock Analog Chronograph Sport Waterproof Steel Band Wristwatch,US $21.49,US $49.98 | 57% off,349 Sold,NaN% Claimed
16,//aliexpress.ru/item/1005001581424219.html?pdp_ext_f=%7B%22sku_id%22:%2212000016674250055%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H1fb57713ead642619ff871f2076d9348e.jpg_350x350.jpg,Simenual Ruched Denim Blue High Wait Stacked Pants Autumn 2021 Women Clothing Streetwear Jeans Fashion Skinny Pockets Trousers,US $18.85,US $40.98 | 54% off,2219 Sold,NaN% Claimed
17,//aliexpress.ru/item/1005001618330761.html?pdp_ext_f=%7B%22sku_id%22:%2212000016838669386%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/Heb9d977e576944ac9f2c9e54bf19f490N.jpg_350x350.jpg,RED SIREN 1 Pair 25 mm Mink Eyelashes Fluffy Lashes Dramatic Messy Long False Eyelashes Makeup Wholesale 25mm 3d Mink Lashes,US $2.78,US $4.27 | 35% off,5715 Sold,NaN% Claimed
18,//aliexpress.ru/item/1005002259785187.html?pdp_ext_f=%7B%22sku_id%22:%2212000019732451280%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H7e73e1f4c3c84d68838bb867d1ee6e39B.jpg_350x350.jpg,FSDA 2021 Print Knit Bodycon Dress Women Green Y2K Summer Hollow Out Sexy Sleeveless Spaghetti Strap Beach Midi Dresses Party,US $18.99,US $31.65 | 40% off,11447 Sold,NaN% Claimed
19,//aliexpress.ru/item/4000818797701.html?pdp_ext_f=%7B%22sku_id%22:%2212000019925887418%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H14ca70f55f63497bb178c98c826ca022W.jpg_350x350.jpg,MAANGE Makeup Brushes Pro Pink Brush Set Powder EyeShadow Blending Eyeliner Eyelash Eyebrow Make up Beauty Cosmestic Brushes,US $0.01,US $3.32 | 99% off,20148 Sold,NaN% Claimed
20,//aliexpress.ru/item/32840627909.html?pdp_ext_f=%7B%22sku_id%22:%2212000021943058779%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/Hd94cf5f0daf04d32acc9abc636d5fe564.jpg_350x350.jpg,Sapphire 34" Bone Straight Bundles With Closure Brazilian Hair Weave Bundles With Closure Human Hair Bundles With Closure Remy,US $38.71,US $90.03 | 57% off,2610 Sold,NaN% Claimed
21,//aliexpress.ru/item/4000539506338.html?pdp_ext_f=%7B%22sku_id%22:%2212000016406259992%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/Ha9aac78e8d0549bb9c4d4fb805ba7ec49.jpg_350x350.jpg,TWS Bluetooth 5.0 Earphones 2200mAh Charging Box Wireless Headphone 9D Stereo Sports Waterproof Earbuds Headsets With Microphone,US $13.21,US $38.86 | 66% off,125461 Sold,NaN% Claimed
22,//aliexpress.ru/item/32982338666.html?pdp_ext_f=%7B%22sku_id%22:%2212000020564056666%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H391b315a25064cfcbe5a2341dd12f8d51.jpg_350x350.jpg,CURREN Casual Sport Watches for Men Blue Top Brand Luxury Military Leather Wrist Watch Man Clock Fashion Chronograph Wristwatch,US $21.59,US $239.90 | 91% off,12194 Sold,NaN% Claimed
23,//aliexpress.ru/item/32877168257.html?pdp_ext_f=%7B%22sku_id%22:%2266415679589%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H82202fed89594b46a3e2ba3898723a723.jpg_350x350.jpg,ROSALIND Gel Polish Set Manicure for Nails Semi Permanent Vernis top coat UV LED Gel Varnish Soak Off Nail Art Gel Nail Polish,US $1.03,US $1.99 | 48% off,79183 Sold,NaN% Claimed
24,//aliexpress.ru/item/4000320339371.html?pdp_ext_f=%7B%22sku_id%22:%2210000001323406099%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=ec299fbb-cfd9-473e-b15c-c72ab318450c,//ae01.alicdn.com/kf/H38bdeaace1f744008c837964f6a9c038c.jpg_350x350.jpg,25CM Wide Brim Oversized Beach Hats For Women Large Straw Hat UV Protection Foldable Sun Shade Hat Wholesale Dropshipping,US $11.89,US $33.98 | 65% off,3793 Sold,NaN% Claimed
